Restaurant_ID,U1,U2,U3,U4,U5
rich-j-c-korean-restaurant-ann-arbor-2,,5,,3,3
angs-korean-restaurant-ann-arbor-2,,3.5,,,3.5
university-cafe-ann-arbor,,4,,,3
subway-ann-arbor-2,3,2,,2.5,2
amers-delicatessen-ann-arbor,2.5,2.5,,3.5,3
pacific-rim-ann-arbor,3,5,,,4
south-u-pizza-ann-arbor,3.5,1,,2,
backroom-pizza-ann-arbor,,1.5,,2.5,
brown-jug-ann-arbor,3,3,,3,
good-time-charleys-ann-arbor,3.5,4,,4,
isalita-ann-arbor,4,5,,,
noodles-and-company-ann-arbor-2,3.5,1,,1,
tomukun-korean-barbeque-ann-arbor,4.5,4,,,4
sadako-japanese-restaurant-ann-arbor,3,1.5,,5,3
grizzly-peak-brewing-company-ann-arbor,,3.5,,,
mani-osteria-and-bar-ann-arbor,5,4.5,,4.5,
taste-of-india-ann-arbor,5,,,4,
ahmos-gyros-and-deli-ypsilanti,4,3,,3,
jimmy-johns-ann-arbor-3,2.5,2,,5,2.5
melange-ann-arbor,4.5,,,5,
wings-over-ann-arbor-ann-arbor,,,,4,
jamaican-jerk-pit-ann-arbor,4.5,4,,4.5,
neopapalis-ann-arbor,4,,,,
buffalo-wild-wings-ann-arbor,,2,,3.5,3
chipotle-mexican-grill-ann-arbor-3,5,4,,5,2.5
jolly-pumpkin-cafe-and-brewery-ann-arbor-3,4,4.5,,,
the-black-pearl-ann-arbor,,,,,3.5
madras-masala-ann-arbor,5,4,,4,
aventura-ann-arbor,4.5,5,,,
sushi-town-ann-arbor,,4,,,
miki-japanese-restaurant-ann-arbor,,,,,4
the-chop-house-ann-arbor,3.5,4,,,4
gandy-dancer-restaurant-ann-arbor,,2.2,,,
blue-leprechaun-ann-arbor,3,3.5,,3,
savas-ann-arbor,,,,5,3
potbelly-sandwich-shop-ann-arbor-4,,,,3.5,
panera-bread-ann-arbor-3,,3.5,,2,
pieology-pizzeria-ann-arbor,,3.5,,,
no-thai-ann-arbor,,3,,3,